from_stop_id,to_stop_id,transfer_type,min_transfer_time
stop_point:SP_1069,stop_point:SP_1069,2,180
stop_point:SP_1069,stop_point:SP_1299,2,180
stop_point:SP_1070,stop_point:SP_1070,2,180
stop_point:SP_1070,stop_point:SP_4871,2,180
stop_point:SP_1071,stop_point:SP_1071,2,180
stop_point:SP_1071,stop_point:SP_2878,2,180
stop_point:SP_1072,stop_point:SP_1072,2,180
stop_point:SP_1072,stop_point:SP_302,2,180
stop_point:SP_1074,stop_point:SP_1074,2,180
stop_point:SP_1074,stop_point:SP_3835,2,180
stop_point:SP_1075,stop_point:SP_1075,2,180
stop_point:SP_1075,stop_point:SP_3715,2,180
stop_point:SP_1076,stop_point:SP_1076,2,180
stop_point:SP_1076,stop_point:SP_4791,2,180
stop_point:SP_1077,stop_point:SP_1077,2,180
stop_point:SP_1077,stop_point:SP_3763,2,180
stop_point:SP_1077,stop_point:SP_974,2,180
stop_point:SP_1081,stop_point:SP_1081,2,180
stop_point:SP_1081,stop_point:SP_1154,2,180
stop_point:SP_1082,stop_point:SP_1082,2,180
stop_point:SP_1082,stop_point:SP_3739,2,180
stop_point:SP_1083,stop_point:SP_1083,2,180
stop_point:SP_1083,stop_point:SP_1269,2,180
stop_point:SP_1084,stop_point:SP_1084,2,180
stop_point:SP_1084,stop_point:SP_1138,2,180
stop_point:SP_1084,stop_point:SP_1166,2,180
stop_point:SP_1084,stop_point:SP_2012,2,180
stop_point:SP_1086,stop_point:SP_1086,2,180
stop_point:SP_1086,stop_point:SP_2287,2,180
stop_point:SP_1087,stop_point:SP_1087,2,180
stop_point:SP_1088,stop_point:SP_1088,2,180
stop_point:SP_1088,stop_point:SP_3081,2,180
stop_point:SP_1089,stop_point:SP_1089,2,180
stop_point:SP_1089,stop_point:SP_1618,2,180
stop_point:SP_109,stop_point:SP_109,2,180
stop_point:SP_109,stop_point:SP_3381,2,180
stop_point:SP_1090,stop_point:SP_1090,2,180
stop_point:SP_1091,stop_point:SP_1091,2,180
stop_point:SP_1091,stop_point:SP_1531,2,180
